xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
1.353487609802939973e-01,9.969593138876220451e-01,-4.474682854584722397e-02,9.863895386645923358e-01,8.197299988966631366e-04
1.433098645673701321e-01,9.965927850325895232e-01,-4.733178911115262094e-02,9.847586951716246206e-01,9.720869032311485556e-04
1.512709681544462392e-01,9.962057084877573576e-01,-4.990877892292600732e-02,9.830387038313210812e-01,1.142057887004933403e-03
1.592320717415223741e-01,9.957981493781994375e-01,-5.247737932330538008e-02,9.812302235688158403e-01,1.330556221307697094e-03
1.671931753285984812e-01,9.953701761464676112e-01,-5.503717546997544119e-02,9.793339452595423156e-01,1.538484869856814085e-03
1.751542789156745883e-01,9.949218605224665612e-01,-5.758775652581633875e-02,9.773505911776941835e-01,1.766736016127501765e-03
1.831153825027507231e-01,9.944532774899801364e-01,-6.012871582115150715e-02,9.752809144131011632e-01,2.016190600064487852e-03
1.910764860898268303e-01,9.939645052532634084e-01,-6.265965102968892864e-02,9.731256982723116566e-01,2.287717865809001626e-03
1.990375896769029374e-01,9.934556252019477451e-01,-6.518016433611345528e-02,9.708857556567819236e-01,2.582174920297460215e-03
2.069986932639790722e-01,9.929267218737124479e-01,-6.768986259117118487e-02,9.685619284164850296e-01,2.900406302833054978e-03
2.149597968510551793e-01,9.923778829169762616e-01,-7.018835747503326949e-02,9.661550866895826095e-01,3.243243566742779697e-03
2.229209004381312864e-01,9.918091990526592960e-01,-7.267526565963530749e-02,9.636661282246643534e-01,3.611504873272418977e-03
2.308820040252074213e-01,9.912207640323913438e-01,-7.515020894447642374e-02,9.610959776748314587e-01,4.005994596768283796e-03
2.388431076122835284e-01,9.906126745978233172e-01,-7.761281440997014336e-02,9.584455858848073273e-01,4.427502943398365330e-03
2.468042111993596632e-01,9.899850304383981392e-01,-8.006271456119497254e-02,9.557159291602194129e-01,4.876805582595540936e-03
2.547653147864357703e-01,9.893379341471264521e-01,-8.249954746099878722e-02,9.529080085178900372e-01,5.354663291294785993e-03
2.627264183735119052e-01,9.886714911751481871e-01,-8.492295685738424083e-02,9.500228489213655703e-01,5.861821611380154534e-03
2.706875219605879845e-01,9.879858097865537037e-01,-8.733259231566342651e-02,9.470614985088575688e-01,6.399010521294302978e-03
2.786486255476641194e-01,9.872810010133142855e-01,-8.972810935408799538e-02,9.440250278136602669e-01,6.966944122195221911e-03
2.866097291347402543e-01,9.865571786046758440e-01,-9.210916954074416241e-02,9.409145289535364443e-01,7.566320335654012907e-03
2.945708327218163336e-01,9.858144589795952983e-01,-9.447544061548870942e-02,9.377311148269604768e-01,8.197820617534223170e-03
3.025319363088924685e-01,9.850529611773934935e-01,-9.682659659900090532e-02,9.344759182961291932e-01,8.862109685672752910e-03
3.104930398959686033e-01,9.842728068077024606e-01,-9.916231789780907691e-02,9.311500913622103859e-01,9.559835262100815911e-03
3.184541434830447382e-01,9.834741199987834248e-01,-1.014822913996749898e-01,9.277548043297111358e-01,1.029162782938454999e-02
3.264152470701208175e-01,9.826570273448933523e-01,-1.037862105627807424e-01,9.242912449637150640e-01,1.105810040138533595e-02
3.343763506571969524e-01,9.818216578534635364e-01,-1.060737755027943152e-01,9.207606176440359391e-01,1.185984830892127841e-02
3.423374542442730872e-01,9.809681428928594960e-01,-1.083446930818885989e-01,9.171641425202817777e-01,1.269744900096476774e-02
3.502985578313491666e-01,9.800966161403225074e-01,-1.105986769973618528e-01,9.135030546668299056e-01,1.357146186139471071e-02
3.582596614184253014e-01,9.792072135231330021e-01,-1.128354478300689218e-01,9.097786032093198028e-01,1.448242803641754117e-02
3.662207650055014363e-01,9.783000731653773707e-01,-1.150547331226411674e-01,9.059920504756120430e-01,1.543087028065549468e-02
3.741818685925775156e-01,9.773753353321006365e-01,-1.172562674409867167e-01,9.021446711372738125e-01,1.641729281674857502e-02
3.821429721796536505e-01,9.764331423737656612e-01,-1.194397924335188765e-01,8.982377513546279113e-01,1.744218121008354189e-02
3.901040757667297854e-01,9.754736386697548944e-01,-1.216050568832798551e-01,8.942725879208137663e-01,1.850600225798030088e-02
3.980651793538058647e-01,9.744969705709534136e-01,-1.237518167526441976e-01,8.902504874057932671e-01,1.960920389313145287e-02
4.060262829408819996e-01,9.735032863418381366e-01,-1.258798352222825212e-01,8.861727653028051988e-01,2.075221510137818456e-02
4.139873865279581344e-01,9.724927361024958694e-01,-1.279888827260665662e-01,8.820407451797004361e-01,2.193544585396731486e-02
4.219484901150342138e-01,9.714654717709927390e-01,-1.300787369835967322e-01,8.778557578375297821e-01,2.315928705450355160e-02
4.299095937021103486e-01,9.704216470065212263e-01,-1.321491830320329908e-01,8.736191404787012615e-01,2.442411050088756988e-02
4.378706972891864835e-01,9.693614171534851165e-01,-1.342000132578279048e-01,8.693322358858803778e-01,2.573026886240762159e-02
4.458318008762625628e-01,9.682849391780995463e-01,-1.362310273924770554e-01,8.649963915782612478e-01,2.707809566493202952e-02
4.537929044633386977e-01,9.671923716102885926e-01,-1.382420325257461280e-01,8.606129589977933314e-01,2.846790529349169444e-02
4.617540080504148325e-01,9.660838744869411077e-01,-1.402328431213613058e-01,8.561832927096373336e-01,2.989999300993197856e-02
4.697151116374909674e-01,9.649596092927105184e-01,-1.422032810165388128e-01,8.517087496020924187e-01,3.137463498168794468e-02
4.776762152245670467e-01,9.638197389016668337e-01,-1.441531754206266669e-01,8.471906880998771872e-01,3.289208832435635416e-02
4.856373188116431816e-01,9.626644275185554100e-01,-1.460823629076980212e-01,8.426304673862717864e-01,3.445259115679857181e-02
