xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
6.901823705926480867e-01,9.289637631378971916e-01,-1.844331260775874115e-01,6.918212014235466389e-01,8.785503400594606160e-02
7.001848687171792207e-01,9.271111599317207741e-01,-1.859888431305715961e-01,6.849502747953283288e-01,9.118267641679198010e-02
7.101873668417103547e-01,9.252431795568721862e-01,-1.875078115063694151e-01,6.780776998807855893e-01,9.457258286301448158e-02
7.201898649662414886e-01,9.233601889699207810e-01,-1.889901580371624035e-01,6.712058441671309161e-01,9.802417569768051564e-02
7.301923630907726226e-01,9.214625537878849970e-01,-1.904360238399107619e-01,6.643370225183804489e-01,1.015368481298238590e-01
7.401948612153037566e-01,9.195506381448682598e-01,-1.918455638946647002e-01,6.574734964587668484e-01,1.051099652976679177e-01
7.501973593398348905e-01,9.176248045577009016e-01,-1.932189466306246384e-01,6.506174735623093675e-01,1.087428653513672488e-01
7.601998574643660245e-01,9.156854137930378057e-01,-1.945563535037346803e-01,6.437711069188848390e-01,1.124348605349438368e-01
7.702023555888971584e-01,9.137328247392710878e-01,-1.958579785737979417e-01,6.369364946868930621e-01,1.161852382695106184e-01
7.802048537134282924e-01,9.117673942824835454e-01,-1.971240280799991806e-01,6.301156797274551913e-01,1.199932622352766765e-01
7.902073518379594264e-01,9.097894771865797647e-01,-1.983547200157300128e-01,6.233106493183235841e-01,1.238581734509414251e-01
8.002098499624905603e-01,9.077994259777442121e-01,-1.995502837036333965e-01,6.165233349456396006e-01,1.277791913492028752e-01
8.102123480870216943e-01,9.057975908333713022e-01,-2.007109593717828488e-01,6.097556121715768107e-01,1.317555148472194515e-01
8.202148462115528282e-01,9.037843194756165488e-01,-2.018369977319128816e-01,6.030093005758419000e-01,1.357863234109857320e-01
8.302173443360839622e-01,9.017599570686368748e-01,-2.029286595582063257e-01,5.962861637653684710e-01,1.398707781110476722e-01
8.402198424606150962e-01,8.997248461188077640e-01,-2.039862152654582372e-01,5.895879094474463233e-01,1.440080226670178987e-01
8.502223405851462301e-01,8.976793263814535351e-01,-2.050099444950649608e-01,5.829161895754774170e-01,1.481971844851535935e-01
8.602248387096773641e-01,8.956237347703822627e-01,-2.060001357012740120e-01,5.762726005523830519e-01,1.524373756825644910e-01
